match_id,SetNo,GameNo,PointNumber,point_idx,perspective,server_is_persp,pts_in_game_for,pts_in_game_against,games_in_set_for,games_in_set_against,sets_for,sets_against,best_of,sets_needed_to_win,is_tiebreak,is_game_point_for,is_game_point_against,is_break_point,ttl_diff,aces_diff,df_diff
2021-usopen-2406,1,1,0X,1,P1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,1,0Y,2,P1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,1,1,3,P1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,1,2,4,P1,0,0,1,0,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2021-usopen-2406,1,1,3,5,P1,0,0,2,0,0,0,0,5,3,0,0,0,0,-2,0.0,0.0
2021-usopen-2406,1,1,4,6,P1,0,0,3,0,0,0,0,5,3,0,0,1,0,-3,0.0,0.0
2021-usopen-2406,1,1,5,7,P1,0,1,3,0,0,0,0,5,3,0,0,1,0,-2,0.0,0.0
2021-usopen-2406,1,1,6,8,P1,0,2,3,0,0,0,0,5,3,0,0,1,0,-1,0.0,0.0
2021-usopen-2406,1,1,7,9,P1,0,3,3,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,1,8,10,P1,0,4,3,0,0,0,0,5,3,0,1,0,1,1,0.0,0.0
2021-usopen-2406,1,2,10,11,P1,1,5,3,1,0,0,0,5,3,0,0,0,0,2,0.0,0.0
2021-usopen-2406,1,2,11,12,P1,1,0,1,1,0,0,0,5,3,0,0,0,0,1,0.0,0.0
2021-usopen-2406,1,2,12,13,P1,1,0,2,1,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,2,13,14,P1,1,0,3,1,0,0,0,5,3,0,0,1,0,-1,0.0,0.0
2021-usopen-2406,1,2,9,15,P1,1,0,4,1,0,0,0,5,3,0,0,0,0,-2,0.0,0.0
2021-usopen-2406,1,3,14,16,P1,0,1,4,2,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2021-usopen-2406,1,3,15,17,P1,0,1,0,2,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2021-usopen-2406,1,3,16,18,P1,0,1,1,2,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2021-usopen-2406,1,3,17,19,P1,0,1,2,2,0,0,0,5,3,0,0,0,0,-2,0.0,0.0
2021-usopen-2406,1,3,18,20,P1,0,2,2,2,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2021-usopen-2406,1,3,19,21,P1,0,2,3,2,0,0,0,5,3,0,0,1,0,-2,0.0,0.0
2021-usopen-2406,1,4,20,22,P1,1,2,4,2,1,0,0,5,3,0,0,0,0,-3,0.0,0.0
2021-usopen-2406,1,4,21,23,P1,1,0,1,2,1,0,0,5,3,0,0,0,0,-4,0.0,0.0
2021-usopen-2406,1,4,22,24,P1,1,0,2,2,1,0,0,5,3,0,0,0,0,-5,0.0,0.0
2021-usopen-2406,1,4,23,25,P1,1,1,2,2,1,0,0,5,3,0,0,0,0,-4,0.0,0.0
2021-usopen-2406,1,4,24,26,P1,1,2,2,2,1,0,0,5,3,0,0,0,0,-3,0.0,0.0
2021-usopen-2406,1,4,25,27,P1,1,3,2,2,1,0,0,5,3,0,1,0,0,-2,0.0,0.0
2021-usopen-2406,1,5,26,28,P1,0,4,2,3,1,0,0,5,3,0,0,0,0,-1,0.0,0.0
2021-usopen-2406,1,5,27,29,P1,0,0,1,3,1,0,0,5,3,0,0,0,0,-2,0.0,0.0
2021-usopen-2406,1,5,28,30,P1,0,0,2,3,1,0,0,5,3,0,0,0,0,-3,0.0,0.0
2021-usopen-2406,1,5,29,31,P1,0,0,3,3,1,0,0,5,3,0,0,1,0,-4,0.0,0.0
2021-usopen-2406,1,6,30,32,P1,1,0,4,3,2,0,0,5,3,0,0,0,0,-5,0.0,0.0
2021-usopen-2406,1,6,31,33,P1,1,0,1,3,2,0,0,5,3,0,0,0,0,-6,0.0,0.0
2021-usopen-2406,1,6,32,34,P1,1,1,1,3,2,0,0,5,3,0,0,0,0,-5,0.0,0.0
2021-usopen-2406,1,6,33,35,P1,1,1,2,3,2,0,0,5,3,0,0,0,0,-6,0.0,0.0
2021-usopen-2406,1,6,34,36,P1,1,1,3,3,2,0,0,5,3,0,0,1,0,-7,0.0,0.0
2021-usopen-2406,1,6,35,37,P1,1,2,3,3,2,0,0,5,3,0,0,1,0,-6,0.0,0.0
2021-usopen-2406,1,6,36,38,P1,1,3,3,3,2,0,0,5,3,0,0,0,0,-5,0.0,0.0
2021-usopen-2406,1,6,37,39,P1,1,3,4,3,2,0,0,5,3,0,0,1,0,-6,0.0,0.0
2021-usopen-2406,1,7,38,40,P1,0,3,5,3,3,0,0,5,3,0,0,0,0,-7,0.0,0.0
2021-usopen-2406,1,7,39,41,P1,0,1,0,3,3,0,0,5,3,0,0,0,0,-6,0.0,0.0
2021-usopen-2406,1,7,40,42,P1,0,1,1,3,3,0,0,5,3,0,0,0,0,-7,0.0,0.0
2021-usopen-2406,1,7,41,43,P1,0,1,2,3,3,0,0,5,3,0,0,0,0,-8,0.0,0.0
2021-usopen-2406,1,7,42,44,P1,0,2,2,3,3,0,0,5,3,0,0,0,0,-7,0.0,0.0
2021-usopen-2406,1,7,43,45,P1,0,2,3,3,3,0,0,5,3,0,0,1,0,-8,-1.0,0.0
2021-usopen-2406,1,7,44,46,P1,0,3,3,3,3,0,0,5,3,0,0,0,0,-7,-1.0,-1.0
2021-usopen-2406,1,7,45,47,P1,0,3,4,3,3,0,0,5,3,0,0,1,0,-8,-1.0,-1.0
2021-usopen-2406,1,7,46,48,P1,0,4,4,3,3,0,0,5,3,0,0,0,0,-7,-1.0,-1.0
2021-usopen-2406,1,7,47,49,P1,0,5,4,3,3,0,0,5,3,0,1,0,1,-6,-1.0,-2.0
2021-usopen-2406,1,7,48,50,P1,0,5,5,3,3,0,0,5,3,0,0,0,0,-7,-1.0,-2.0
2021-usopen-2406,1,7,49,51,P1,0,5,6,3,3,0,0,5,3,0,0,1,0,-8,-1.0,-2.0
2021-usopen-2406,1,7,50,52,P1,0,6,6,3,3,0,0,5,3,0,0,0,0,-7,-1.0,-3.0
2021-usopen-2406,1,7,51,53,P1,0,7,6,3,3,0,0,5,3,0,1,0,1,-6,-1.0,-3.0
2021-usopen-2406,1,8,52,54,P1,1,8,6,4,3,0,0,5,3,0,0,0,0,-5,-1.0,-3.0
2021-usopen-2406,1,8,53,55,P1,1,1,0,4,3,0,0,5,3,0,0,0,0,-4,-1.0,-3.0
2021-usopen-2406,1,8,54,56,P1,1,2,0,4,3,0,0,5,3,0,0,0,0,-3,-1.0,-3.0
2021-usopen-2406,1,8,55,57,P1,1,3,0,4,3,0,0,5,3,0,1,0,0,-2,-1.0,-3.0
2021-usopen-2406,1,8,56,58,P1,1,3,1,4,3,0,0,5,3,0,1,0,0,-3,-1.0,-3.0
2021-usopen-2406,1,8,57,59,P1,1,3,2,4,3,0,0,5,3,0,1,0,0,-4,-1.0,-3.0
2021-usopen-2406,1,9,58,60,P1,0,4,2,5,3,0,0,5,3,0,0,0,0,-3,-1.0,-3.0
2021-usopen-2406,1,9,59,61,P1,0,1,0,5,3,0,0,5,3,0,0,0,0,-2,-1.0,-4.0
2021-usopen-2406,1,9,60,62,P1,0,2,0,5,3,0,0,5,3,0,0,0,0,-1,-1.0,-4.0
2021-usopen-2406,1,9,61,63,P1,0,3,0,5,3,0,0,5,3,0,1,0,1,0,-1.0,-4.0
2021-usopen-2406,1,10,62,64,P1,1,4,0,6,3,0,0,5,3,0,0,0,0,1,-1.0,-4.0
2021-usopen-2406,1,10,63,65,P1,1,1,0,6,3,0,0,5,3,0,0,0,0,2,-1.0,-4.0
2021-usopen-2406,1,10,64,66,P1,1,2,0,6,3,0,0,5,3,0,0,0,0,3,-1.0,-4.0
2021-usopen-2406,1,10,65,67,P1,1,3,0,6,3,0,0,5,3,0,1,0,0,4,-1.0,-4.0
2021-usopen-2406,2,1,66,68,P1,0,4,0,0,0,1,0,5,3,0,0,0,0,5,-1.0,-4.0
2021-usopen-2406,2,1,67,69,P1,0,0,1,0,0,1,0,5,3,0,0,0,0,4,-1.0,-4.0
2021-usopen-2406,2,1,68,70,P1,0,0,2,0,0,1,0,5,3,0,0,0,0,3,-1.0,-4.0
2021-usopen-2406,2,1,69,71,P1,0,0,3,0,0,1,0,5,3,0,0,1,0,2,-1.0,-4.0
2021-usopen-2406,2,2,70,72,P1,1,0,4,0,1,1,0,5,3,0,0,0,0,1,-1.0,-4.0
2021-usopen-2406,2,2,71,73,P1,1,1,0,0,1,1,0,5,3,0,0,0,0,2,-1.0,-4.0
2021-usopen-2406,2,2,72,74,P1,1,1,1,0,1,1,0,5,3,0,0,0,0,1,-1.0,-4.0
2021-usopen-2406,2,2,73,75,P1,1,1,2,0,1,1,0,5,3,0,0,0,0,0,-1.0,-4.0
2021-usopen-2406,2,2,74,76,P1,1,2,2,0,1,1,0,5,3,0,0,0,0,1,-1.0,-4.0
2021-usopen-2406,2,2,75,77,P1,1,3,2,0,1,1,0,5,3,0,1,0,0,2,-1.0,-4.0
2021-usopen-2406,2,3,76,78,P1,0,4,2,1,1,1,0,5,3,0,0,0,0,3,-1.0,-4.0
2021-usopen-2406,2,3,77,79,P1,0,1,0,1,1,1,0,5,3,0,0,0,0,4,-1.0,-4.0
2021-usopen-2406,2,3,78,80,P1,0,2,0,1,1,1,0,5,3,0,0,0,0,5,-1.0,-4.0
2021-usopen-2406,2,3,79,81,P1,0,3,0,1,1,1,0,5,3,0,1,0,1,6,-1.0,-4.0
2021-usopen-2406,2,3,80,82,P1,0,3,1,1,1,1,0,5,3,0,1,0,1,5,-1.0,-4.0
2021-usopen-2406,2,4,81,83,P1,1,4,1,2,1,1,0,5,3,0,0,0,0,6,-1.0,-4.0
2021-usopen-2406,2,4,82,84,P1,1,0,1,2,1,1,0,5,3,0,0,0,0,5,-1.0,-4.0
2021-usopen-2406,2,4,83,85,P1,1,1,1,2,1,1,0,5,3,0,0,0,0,6,-1.0,-4.0
