match_id,SetNo,GameNo,PointNumber,point_idx,perspective,server_is_persp,pts_in_game_for,pts_in_game_against,games_in_set_for,games_in_set_against,sets_for,sets_against,best_of,sets_needed_to_win,is_tiebreak,is_game_point_for,is_game_point_against,is_break_point,ttl_diff,aces_diff,df_diff
2022-usopen-1144,1,1,0X,1,P1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2022-usopen-1144,1,1,0Y,2,P1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2022-usopen-1144,1,1,1,3,P1,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2022-usopen-1144,1,1,10,4,P1,1,0,1,0,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2022-usopen-1144,1,1,10Y,5,P1,0,0,2,0,0,0,0,5,3,0,0,0,0,-2,0.0,0.0
2022-usopen-1144,1,1,11,6,P1,1,0,2,0,0,0,0,5,3,0,0,0,0,-2,0.0,0.0
2022-usopen-1144,1,1,11Y,7,P1,0,1,2,0,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2022-usopen-1144,1,1,12,8,P1,1,1,2,0,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2022-usopen-1144,1,1,12Y,9,P1,0,1,3,0,0,0,0,5,3,0,0,1,0,-2,0.0,1.0
2022-usopen-1144,1,1,13,10,P1,1,1,3,0,0,0,0,5,3,0,0,1,0,-2,0.0,1.0
2022-usopen-1144,1,1,13Y,11,P1,0,2,3,0,0,0,0,5,3,0,0,1,0,-1,0.0,1.0
2022-usopen-1144,1,1,14,12,P1,1,2,3,0,0,0,0,5,3,0,0,1,0,-1,0.0,1.0
2022-usopen-1144,1,1,14Y,13,P1,0,3,3,0,0,0,0,5,3,0,0,0,0,0,0.0,1.0
2022-usopen-1144,1,1,1Y,14,P1,0,3,3,0,0,0,0,5,3,0,0,0,0,0,0.0,1.0
2022-usopen-1144,1,1,2,15,P1,1,3,3,0,0,0,0,5,3,0,0,0,0,0,0.0,1.0
2022-usopen-1144,1,1,2Y,16,P1,0,3,4,0,0,0,0,5,3,0,0,1,0,-1,0.0,1.0
2022-usopen-1144,1,1,3,17,P1,1,3,4,0,0,0,0,5,3,0,0,1,0,-1,0.0,1.0
2022-usopen-1144,1,1,4,18,P1,1,3,5,0,0,0,0,5,3,0,0,0,0,-2,0.0,1.0
2022-usopen-1144,1,1,4Y,19,P1,0,4,5,0,0,0,0,5,3,0,0,1,0,-1,1.0,1.0
2022-usopen-1144,1,1,5,20,P1,1,4,5,0,0,0,0,5,3,0,0,1,0,-1,1.0,1.0
2022-usopen-1144,1,1,5Y,21,P1,0,5,5,0,0,0,0,5,3,0,0,0,0,0,1.0,1.0
2022-usopen-1144,1,1,6,22,P1,1,5,5,0,0,0,0,5,3,0,0,0,0,0,1.0,1.0
2022-usopen-1144,1,1,6Y,23,P1,0,6,5,0,0,0,0,5,3,0,1,0,1,1,2.0,1.0
2022-usopen-1144,1,1,7,24,P1,1,6,5,0,0,0,0,5,3,0,1,0,0,1,2.0,1.0
2022-usopen-1144,1,1,7Y,25,P1,0,6,6,0,0,0,0,5,3,0,0,0,0,0,2.0,1.0
2022-usopen-1144,1,1,8,26,P1,1,6,6,0,0,0,0,5,3,0,0,0,0,0,2.0,1.0
2022-usopen-1144,1,1,8Y,27,P1,0,7,6,0,0,0,0,5,3,0,1,0,1,1,2.0,1.0
2022-usopen-1144,1,1,9,28,P1,1,7,6,0,0,0,0,5,3,0,1,0,0,1,2.0,1.0
2022-usopen-1144,1,1,9Y,29,P1,0,8,6,0,0,0,0,5,3,0,0,0,0,2,3.0,1.0
2022-usopen-1144,1,2,15,30,P1,0,8,6,0,0,0,0,5,3,0,0,0,0,2,3.0,1.0
2022-usopen-1144,1,2,15Y,31,P1,0,1,0,0,0,0,0,5,3,0,0,0,0,3,3.0,1.0
2022-usopen-1144,1,2,16,32,P1,0,1,0,0,0,0,0,5,3,0,0,0,0,3,3.0,1.0
2022-usopen-1144,1,2,16Y,33,P1,0,1,1,0,0,0,0,5,3,0,0,0,0,2,3.0,1.0
2022-usopen-1144,1,2,17,34,P1,0,1,1,0,0,0,0,5,3,0,0,0,0,2,3.0,1.0
2022-usopen-1144,1,2,17Y,35,P1,0,1,2,0,0,0,0,5,3,0,0,0,0,1,3.0,1.0
